CowTimeLoc,Sequencing.File.Name,Cow,GWAS_Timepoint,Location,Sample.Type,PARITY,DIM,parity.group,SampleType_Parity,Darkness,Milk7d_T1,Milk_Tier,STAGE,PARITY.GROUP,Parity.Stage,Sequence Counts,dateTrial_recent,milkE_1,DMI_recent,rfi_recent,GFE
8248_1_ARS,Swab2-222,8248,1,ARS,Swab,3,144,Multi,Swab_Multi,0.4150067,93,Mid,Middle,Third,Third.Middle,6463,,,,,
8780_1_ARS,Swab2-223,8780,1,ARS,Swab,1,317,First,Swab_First,0.3906698,48.6,Low,Late,First,First.Late,4179,,,,,
8564_1_ARS,Swab2-229,8564,1,ARS,Swab,2,170,Second,Swab_Second,0.4223239,84.1,Mid,Middle,Second,Second.Middle,8907,,,,,
8537_1_ARS,Swab2-234,8537,1,ARS,Swab,3,193,Multi,Swab_Multi,0.3784243,90.6,Mid,Middle,Third,Third.Middle,79862,,,,,
8314_1_ARS,Swab2-24,8314,1,ARS,Swab,3,37,Multi,Swab_Multi,0.3910545,108,Mid,Early,Third,Third.Early,22920,1/13/2020,31.3,28.8,-2.1,1.1071429
8161_1_ARS,Swab2-240,8161,1,ARS,Swab,3,236,Multi,Swab_Multi,0.4087925,93.5,Mid,Late,Third,Third.Late,131678,,,,,
8113_1_ARS,Swab2-242,8113,1,ARS,Swab,3,285,Multi,Swab_Multi,0.3791741,65.7,Mid,Late,Third,Third.Late,79854,,,,,
8715_1_ARS,Swab2-245,8715,1,ARS,Swab,1,305,First,Swab_First,0.3784455,96.4,Mid,Late,First,First.Late,8374,,,,,
8675_1_ARS,Swab2-25,8675,1,ARS,Swab,2,19,Second,Swab_Second,0.4002188,95.9,Mid,Early,Second,Second.Early,44343,1/13/2020,28.9,29.4,-0.7,0.9655172
8950_1_ARS,Swab2-26,8950,1,ARS,Swab,1,79,First,Swab_First,0.3778933,59.2,Low,Early,First,First.Early,21077,,,,,
106_1_ARS,Swab2-27,106,1,ARS,Swab,1,62,First,Swab_First,0.3791573,67.3,Mid,Early,First,First.Early,15522,,,,,
9069_1_ARS,Swab2-29,9069,1,ARS,Swab,1,4,First,Swab_First,0.3715243,30.5,Low,Early,First,First.Early,6056,,,,,
103_1_ARS,Swab2-35,103,1,ARS,Swab,1,62,First,Swab_First,0.3760843,72.5,Mid,Early,First,First.Early,4418,,,,,
8265_1_ARS,Swab2-38,8265,1,ARS,Swab,3,151,Multi,Swab_Multi,0.6659431,91.9,Mid,Middle,Third,Third.Middle,9128,8/26/2019,30.8,30.6,1.7,1.0333333
8825_1_ARS,Swab2-39,8825,1,ARS,Swab,2,286,Second,Swab_Second,0.3820573,57.5,Low,Late,Second,Second.Late,14372,,,,,
102_1_ARS,Swab2-40,102,1,ARS,Swab,1,112,First,Swab_First,0.3880518,80.1,Mid,Middle,First,First.Middle,13345,,,,,
8917_1_ARS,Swab2-41,8917,1,ARS,Swab,2,173,Second,Swab_Second,0.4490714,82.9,Mid,Middle,Second,Second.Middle,11022,,,,,
8872_1_ARS,Swab2-42,8872,1,ARS,Swab,1,185,First,Swab_First,0.3923463,110,High,Middle,First,First.Middle,11057,,,,,
8788_1_ARS,Swab2-43,8788,1,ARS,Swab,1,291,First,Swab_First,0.3828114,61,Low,Late,First,First.Late,13985,,,,,
8534_1_ARS,Swab2-44,8534,1,ARS,Swab,2,212,Second,Swab_Second,0.458429,66.2,Mid,Late,Second,Second.Late,9388,,,,,
8081_1_ARS,Swab2-45,8081,1,ARS,Swab,3,304,Multi,Swab_Multi,0.42344,72.7,Mid,Late,Third,Third.Late,11260,,,,,
8438_1_ARS,Swab2-46,8438,1,ARS,Swab,2,244,Second,Swab_Second,0.4109157,84.1,Mid,Late,Second,Second.Late,13578,,,,,
8490_1_ARS,Swab2-47,8490,1,ARS,Swab,2,242,Second,Swab_Second,0.4067922,55,Low,Late,Second,Second.Late,12451,,,,,
8093_1_ARS,Swab2-48,8093,1,ARS,Swab,3,326,Multi,Swab_Multi,0.4270776,51.1,Low,Late,Third,Third.Late,11424,,,,,
8498_1_ARS,Swab2-49,8498,1,ARS,Swab,3,197,Multi,Swab_Multi,0.422389,89.2,Mid,Middle,Third,Third.Middle,21616,,,,,
8393_1_ARS,Swab2-50,8393,1,ARS,Swab,2,295,Second,Swab_Second,0.4172447,44.6,Low,Late,Second,Second.Late,8715,,,,,
8480_1_ARS,Swab2-51,8480,1,ARS,Swab,2,213,Second,Swab_Second,0.3885604,52.6,Low,Late,Second,Second.Late,30647,,,,,
