CowTimeLoc,Sequencing.File.Name,Cow,GWAS_Timepoint,Location,Sample.Type,PARITY,DIM,parity.group,SampleType_Parity,Darkness,Milk7d_T1,Milk_Tier,STAGE,PARITY.GROUP,Parity.Stage,Sequence Counts,dateTrial_recent,milkE_1,DMI_recent,rfi_recent,GFE
8667_1_ARS,Swab1-224,8667,1,ARS,Swab,2,54,Second,Swab_Second,0.3848533,122,High,Early,Second,Second.Early,9918,1/13/2020,31.2,27.8,-2,1.1481481
8254_1_ARS,Swab1-226,8254,1,ARS,Swab,3,31,Multi,Swab_Multi,0.3730694,117,High,Early,Third,Third.Early,27573,1/13/2020,32.4,32.8,-0.2,1.0625
8977_1_ARS,Swab1-227,8977,1,ARS,Swab,1,54,First,Swab_First,0.4939059,78.2,Mid,Early,First,First.Early,25930,,,,,
8602_1_ARS,Swab1-228,8602,1,ARS,Swab,2,109,Second,Swab_Second,0.6875769,104,Mid,Middle,Second,Second.Middle,34543,,,,,
8319_1_ARS,Swab1-229,8319,1,ARS,Swab,3,15,Multi,Swab_Multi,0.4457941,72.9,Mid,Early,Third,Third.Early,19221,1/13/2020,28.8,29.7,0.2,1.0344828
121_1_ARS,Swab1-230,121,1,ARS,Swab,1,57,First,Swab_First,0.3759918,82.4,Mid,Early,First,First.Early,24806,,,,,
8546_1_ARS,Swab1-231,8546,1,ARS,Swab,2,205,Second,Swab_Second,0.3917573,92.1,Mid,Late,Second,Second.Late,27957,,,,,
8679_1_ARS,Swab1-232,8679,1,ARS,Swab,2,10,Second,Swab_Second,0.4297914,79.4,Mid,Early,Second,Second.Early,40157,1/13/2020,32.7,29.5,-1.5,1.1034483
8656_1_ARS,Swab1-233,8656,1,ARS,Swab,2,14,Second,Swab_Second,0.4142431,41.3,Low,Early,Second,Second.Early,6736,,,,,
131_1_ARS,Swab1-234,131,1,ARS,Swab,1,25,First,Swab_First,0.4863412,67.1,Mid,Early,First,First.Early,21950,,,,,
8582_1_ARS,Swab1-236,8582,1,ARS,Swab,2,116,Second,Swab_Second,0.7312482,120,High,Middle,Second,Second.Middle,35837,8/26/2019,35.1,30.2,1.2,1.1666667
9047_1_ARS,Swab1-237,9047,1,ARS,Swab,1,8,First,Swab_First,0.4226545,66.9,Mid,Early,First,First.Early,22326,,,,,
135_1_ARS,Swab1-238,135,1,ARS,Swab,1,36,First,Swab_First,0.3934725,93.7,Mid,Early,First,First.Early,54610,,,,,
133_1_ARS,Swab1-239,133,1,ARS,Swab,1,9,First,Swab_First,NA,43.4,Low,Early,First,First.Early,45798,,,,,
138_1_ARS,Swab1-240,138,1,ARS,Swab,1,17,First,Swab_First,0.4925871,63.9,Low,Early,First,First.Early,18654,,,,,
8483_1_ARS,Swab1-242,8483,1,ARS,Swab,2,240,Second,Swab_Second,0.3751161,82.4,Mid,Late,Second,Second.Late,22540,,,,,
8688_1_ARS,Swab1-245,8688,1,ARS,Swab,2,33,Second,Swab_Second,0.4645737,92.2,Mid,Early,Second,Second.Early,17304,,,,,
8555_1_ARS,Swab1-250,8555,1,ARS,Swab,3,193,Multi,Swab_Multi,0.4366016,76.6,Mid,Middle,Third,Third.Middle,20161,,,,,
8106_1_ARS,Swab1-251,8106,1,ARS,Swab,3,253,Multi,Swab_Multi,0.5117894,87.1,Mid,Late,Third,Third.Late,13367,,,,,
8661_1_ARS,Swab1-252,8661,1,ARS,Swab,2,58,Second,Swab_Second,0.4393973,98.7,Mid,Early,Second,Second.Early,23739,1/13/2020,26.6,30.3,-0.2,0.8666667
9048_1_ARS,Swab1-253,9048,1,ARS,Swab,1,15,First,Swab_First,0.3912075,41.5,Low,Early,First,First.Early,17148,,,,,
123_1_ARS,Swab1-254,123,1,ARS,Swab,1,32,First,Swab_First,0.3986161,87.5,Mid,Early,First,First.Early,18068,,,,,
9049_1_ARS,Swab1-256,9049,1,ARS,Swab,1,14,First,Swab_First,0.380229,39.2,Low,Early,First,First.Early,9914,,,,,
132_1_ARS,Swab1-257,132,1,ARS,Swab,1,23,First,Swab_First,0.476091,63.1,Low,Early,First,First.Early,16540,,,,,
8073_1_ARS,Swab1-258,8073,1,ARS,Swab,3,210,Multi,Swab_Multi,0.3860733,82.6,Mid,Late,Third,Third.Late,9036,,,,,
157_1_ARS,Swab1-260,157,1,ARS,Swab,1,9,First,Swab_First,0.4126706,31.6,Low,Early,First,First.Early,21424,,,,,
122_1_ARS,Swab1-261,122,1,ARS,Swab,1,31,First,Swab_First,0.4135596,97.7,Mid,Early,First,First.Early,17859,,,,,
114_1_ARS,Swab1-262,114,1,ARS,Swab,1,11,First,Swab_First,0.3900976,46.6,Low,Early,First,First.Early,18395,,,,,
8792_1_ARS,Swab1-265,8792,1,ARS,Swab,1,289,First,Swab_First,0.4871271,52.4,Low,Late,First,First.Late,26703,,,,,
8547_1_ARS,Swab1-267,8547,1,ARS,Swab,3,164,Multi,Swab_Multi,0.3657294,92.2,Mid,Middle,Third,Third.Middle,26871,,,,,
8020_1_ARS,Swab1-268,8020,1,ARS,Swab,3,235,Multi,Swab_Multi,0.4077447,96.6,Mid,Late,Third,Third.Late,12831,,,,,
8069_1_ARS,Swab1-269,8069,1,ARS,Swab,3,322,Multi,Swab_Multi,0.3815565,42.6,Low,Late,Third,Third.Late,34050,,,,,
8367_1_ARS,Swab1-270,8367,1,ARS,Swab,2,366,Second,Swab_Second,0.4106208,26.8,Low,Late,Second,Second.Late,17390,,,,,
101_1_ARS,Swab1-80,101,1,ARS,Swab,2,115,Second,Swab_Second,0.4082078,99,Mid,Middle,Second,Second.Middle,14816,,,,,
8806_1_ARS,Swab1-82,8806,1,ARS,Swab,1,293,First,Swab_First,0.3936894,48.1,Low,Late,First,First.Late,14686,,,,,
8797_1_ARS,Swab1-83,8797,1,ARS,Swab,1,302,First,Swab_First,0.3768827,64.5,Low,Late,First,First.Late,13353,,,,,
8922_1_ARS,Swab1-84,8922,1,ARS,Swab,1,171,First,Swab_First,0.41434,69.6,Mid,Middle,First,First.Middle,130571,,,,,
8974_1_ARS,Swab1-85,8974,1,ARS,Swab,1,100,First,Swab_First,0.4189973,65.2,Low,Early,First,First.Early,13622,,,,,
8954_1_ARS,Swab1-86,8954,1,ARS,Swab,1,88,First,Swab_First,0.392122,87.1,Mid,Early,First,First.Early,12274,,,,,
8713_1_ARS,Swab1-87,8713,1,ARS,Swab,1,213,First,Swab_First,NA,94,Mid,Late,First,First.Late,30846,,,,,
8903_1_ARS,Swab1-88,8903,1,ARS,Swab,1,193,First,Swab_First,0.4462949,77.6,Mid,Middle,First,First.Middle,19639,,,,,
8610_1_ARS,Swab1-89,8610,1,ARS,Swab,1,474,First,Swab_First,0.3592624,81.9,Mid,Late,First,First.Late,18006,,,,,
8952_1_ARS,Swab1-90,8952,1,ARS,Swab,1,112,First,Swab_First,0.3915012,104,Mid,Middle,First,First.Middle,13138,,,,,
105_1_ARS,Swab1-91,105,1,ARS,Swab,2,108,Second,Swab_Second,0.4068188,75.1,Mid,Middle,Second,Second.Middle,22590,,,,,
8819_1_ARS,Swab1-92,8819,1,ARS,Swab,1,249,First,Swab_First,0.396882,65.4,Mid,Late,First,First.Late,22836,,,,,
8821_1_ARS,Swab1-93,8821,1,ARS,Swab,1,253,First,Swab_First,0.3702224,68.9,Mid,Late,First,First.Late,11580,,,,,
8474_1_ARS,Swab1-98,8474,1,ARS,Swab,2,202,Second,Swab_Second,0.4142961,92.6,Mid,Late,Second,Second.Late,27793,,,,,
8506_1_ARS,Swab2-1,8506,1,ARS,Swab,2,209,Second,Swab_Second,0.4061031,99,Mid,Late,Second,Second.Late,22548,,,,,
8527_1_ARS,Swab2-108,8527,1,ARS,Swab,2,197,Second,Swab_Second,0.4432243,106,Mid,Middle,Second,Second.Middle,17631,,,,,
8464_1_ARS,Swab2-110,8464,1,ARS,Swab,3,166,Multi,Swab_Multi,0.4016282,120,High,Middle,Third,Third.Middle,17493,8/26/2019,35.6,32.7,1,1.09375
8600_1_ARS,Swab2-111,8600,1,ARS,Swab,2,125,Second,Swab_Second,0.4518882,108,Mid,Middle,Second,Second.Middle,8408,8/26/2019,28,30.8,-0.8,1.2
8184_1_ARS,Swab2-116,8184,1,ARS,Swab,3,117,Multi,Swab_Multi,0.3641812,60.1,Low,Middle,Third,Third.Middle,17296,8/26/2019,34.6,29,-0.4,0.6896552
8539_1_ARS,Swab2-117,8539,1,ARS,Swab,2,205,Second,Swab_Second,0.3617196,81.5,Mid,Late,Second,Second.Late,17524,,,,,
7990_1_ARS,Swab2-118,7990,1,ARS,Swab,3,255,Multi,Swab_Multi,0.3629157,62.8,Low,Late,Third,Third.Late,18090,,,,,
155_1_ARS,Swab2-119,155,1,ARS,Swab,1,14,First,Swab_First,0.4033353,44,Low,Early,First,First.Early,13637,,,,,
112_1_ARS,Swab2-121,112,1,ARS,Swab,1,28,First,Swab_First,0.4473067,81.8,Mid,Early,First,First.Early,18818,,,,,
8180_1_ARS,Swab2-124,8180,1,ARS,Swab,3,58,Multi,Swab_Multi,0.3753082,90.1,Mid,Early,Third,Third.Early,7003,1/13/2020,29,29.5,-1.1,1
8561_1_ARS,Swab2-127,8561,1,ARS,Swab,2,201,Second,Swab_Second,0.4229851,97.7,Mid,Middle,Second,Second.Middle,16504,,,,,
8520_1_ARS,Swab2-129,8520,1,ARS,Swab,3,195,Multi,Swab_Multi,0.4185729,103,Mid,Middle,Third,Third.Middle,9827,,,,,
130_1_ARS,Swab2-132,130,1,ARS,Swab,1,41,First,Swab_First,0.6605776,86.6,Mid,Early,First,First.Early,7955,,,,,
124_1_ARS,Swab2-133,124,1,ARS,Swab,1,53,First,Swab_First,0.3714467,82.6,Mid,Early,First,First.Early,10930,,,,,
125_1_ARS,Swab2-135,125,1,ARS,Swab,1,14,First,Swab_First,0.4162314,58.8,Low,Early,First,First.Early,17849,,,,,
7965_1_ARS,Swab2-141,7965,1,ARS,Swab,3,274,Multi,Swab_Multi,0.3780188,76.6,Mid,Late,Third,Third.Late,18109,,,,,
8063_1_ARS,Swab2-142,8063,1,ARS,Swab,3,365,Multi,Swab_Multi,0.4249533,56.4,Low,Late,Third,Third.Late,11044,,,,,
7866_1_ARS,Swab2-143,7866,1,ARS,Swab,3,355,Multi,Swab_Multi,0.4263525,26.4,Low,Late,Third,Third.Late,18710,,,,,
146_1_ARS,Swab2-150,146,1,ARS,Swab,1,6,First,Swab_First,0.4162537,27,Low,Early,First,First.Early,5790,,,,,
