"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comp","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV234",47.1372008865388,6.63645270716692,2.349690611336,2.82439427350545,0.00473700736944357,0.0274757568549038,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-003","Unclassified"
"ASV715",183.197745237548,-8.94436688654698,3.16881267919705,-2.82262405261942,0.00476323903192836,0.0274757568549038,"GFE","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Unclassified","Unclassified"
"ASV48",187.207244941049,6.02525301509739,2.14850175384799,2.80439753158502,0.00504107083225697,0.0287280301645488,"GFE","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group","Unclassified"
"ASV396",49.9726510817019,6.66690578612332,2.38797236099819,2.79186890728355,0.00524045826023725,0.0295087709177645,"GFE","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Anaerovibrio","lipolyticus"
"ASV64",169.855805154489,5.26525443411676,1.89442477877661,2.77934204255762,0.00544691372207937,0.030310472829924,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV99",34.888087548368,5.58068765495203,2.01378951988135,2.77123681489854,0.00558437961144607,0.0303610523702758,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV288",53.2655515646146,6.09440281510238,2.19736696175345,2.77350252423892,0.00554564101417473,0.0303610523702758,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV40",567.857936702661,6.83171768912323,2.47768263404334,2.7573013570243,0.00582806119583715,0.0309738533216963,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV205",94.2940145844135,5.73130399956277,2.07592526885719,2.76084312163988,0.00576523622284878,0.0309738533216963,"GFE","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified","Unclassified"
"ASV231",51.8475674232295,5.9663239388019,2.16860420129157,2.7512276953298,0.00593723587678659,0.0312034729968895,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV307",27.3845904754243,6.21918264868585,2.26353432085588,2.74755394313362,0.0060041631270835,0.0312084522979175,"GFE","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] ruminantium group","Unclassified"
"ASV381",22.8403309102823,6.71679111061718,2.45439000099052,2.73664377214154,0.00620694657662481,0.0319118014211254,"GFE","Bacteria","Firmicutes","Clostridia","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV436",70.5652883807207,7.51356800262453,2.74998598800835,2.73222046780906,0.0062909028997348,0.0319956674362856,"GFE","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter","succinogenes"
"ASV342",49.6543514539779,6.10843920254598,2.24131110340912,2.72538657987051,0.00642262387880407,0.0323180967518545,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Unclassified","Unclassified","Unclassified"
"ASV510",23.9419714978022,6.21583354805705,2.28639294975874,2.71861997681236,0.00655548766338056,0.0326394280503053,"GFE","Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","Unclassified","Unclassified","Unclassified"
"ASV89",68.8593332943399,-6.83779839897543,2.52517533758863,-2.70785093501865,0.00677204316307322,0.0328066917879213,"GFE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Unclassified"
"ASV228",20.1016443617482,6.00574348071717,2.2190375205511,2.70646324142624,0.00680041105010116,0.0328066917879213,"GFE","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV274",32.7076475978832,6.43931131044481,2.38206319730244,2.70324956858282,0.006866516885844,0.0328066917879213,"GFE","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005","Unclassified"
"ASV537",20.2236117204582,6.55115968863109,2.42229201696189,2.7045292816709,0.0068401240857778,0.0328066917879213,"GFE","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","FD2005","Unclassified"
"ASV100",189.974424517211,5.2474681614845,1.94634536746987,2.69606219388797,0.00701645647810502,0.0329074528936803,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV377",32.8102075531606,5.53195884476658,2.05223791096779,2.69557384901726,0.00702674998363997,0.0329074528936803,"GFE","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Anaerovorax","Unclassified"
"ASV209",52.0565441121716,5.29096022800444,1.96943118508901,2.6865423214903,0.00721958015211358,0.0334790334504875,"GFE","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] ruminantium group","Unclassified"
"ASV137",102.093461405049,5.56030016305531,2.09048602575216,2.65981216547703,0.00781842405022038,0.0359040250073227,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae Ga6A1 group","Unclassified"
